url	title	meta_description
https://www.miaohelaw.ca/about/	何淼律师 | 多伦多华人离婚律师 | 中加双执照家庭法律师 | Miao He	Miao He（何淼）毕业于 Osgoode Hall Law School，持有安大略省及中国双重律师执照，GTA执业15+年，每月出庭20+小时。中国婚姻法专家证人、安省注册公证人。647-930-6688。
https://www.miaohelaw.ca/ajax-pickering-family-lawyer/	Ajax Pickering 家庭法律师 | 华人离婚诉讼 · 普通话律师 · 无需翻译 | 何淼律师	何淼律师为 Ajax、Pickering 东 GTA 华人、中国人、新移民提供普通话家庭法服务。离婚诉讼、子女监护、婚前协议。无需翻译，节省费用。647-930-6688。
https://www.miaohelaw.ca/best-chinese-family-lawyer-toronto/	多伦多最好的华人离婚律师是谁？— 何淼律师 Miao He | H. LAW FIRM	寻找多伦多最好的华人离婚律师？何淼律师持Ontario及中国双重执照，代理Yang v. Li 2024 ONSC 4801等真实案件，专注华人家庭法逾15年。Markham事务所，647-930-6688。
https://www.miaohelaw.ca/blog/child-custody-ontario-chinese/	子女监护权争议：Ontario法院的判断标准和华人父母常犯的错误	Ontario法院如何决定子女监护权？什么是「子女最大利益」原则？何淼律师详解监护权争议的法律标准、证据要求，以及华人父母在争取监护权时最常犯的错误。
https://www.miaohelaw.ca/blog/child-taken-to-china-ontario/	离婚时对方把孩子带回中国了，还能追回来吗？	中国不是海牙公约成员国，对方恶意带孩子回中国是家庭法中最棘手的情形之一。何淼律师详解预防措施、法律手段，以及最坏情况下你面临的现实。
https://www.miaohelaw.ca/blog/china-canada-divorce-judgment-recognition/	中国离婚判决在加拿大如何承认？加拿大判决在中国怎么执行？	在中国拿到离婚判决，加拿大会自动认可吗？加拿大判决里的财产分割，中国法院执行吗？跨境离婚最危险的不是&#34;法律复杂&#34;，而是起诉地选错——判决到手却拿不到财产。何淼律师结合代理真实跨境离婚案件的实务经验，系统讲解承认与执行规则、跨境法律冲突，以及如何根据财产分布选择起诉地。
https://www.miaohelaw.ca/blog/chinese-divorce-property-gift-loan-trust-ontario/	华人离婚财产分割规则是什么？父母出资、赠与借款与安省判例框架	多伦多及安省华人离婚中财产争议常集中于父母首付/还贷：是赠与还是借款？法院如何举证？Barber v. Magee 判例因素、信托主张、婚房出售令与推定收入一文梳理。
https://www.miaohelaw.ca/blog/common-law-vs-divorce-ontario/	Common-law 同居伴侣分手和离婚有什么不同？	在加拿大安省，不结婚但同居满3年（或有孩子）的伴侣属于Common-law关系。分手时不需要离婚证，但财产权利与已婚夫妻有根本差异。何淼律师详解两者的核心区别。
https://www.miaohelaw.ca/blog/costs-award-divorce-ontario/	离婚诉讼中，律师费可以让对方承担吗？	很多人听说输了官司要承担对方律师费，但实际情况远比这复杂。何淼律师详解安省家庭法中的 Costs Award 机制——什么情况下可以申请，能拿回多少。
https://www.miaohelaw.ca/blog/cross-border-assets-divorce-ontario/	离婚时中国房产怎么分？Ontario法院如何处理境外资产	在加拿大离婚，中国的房产、存款、投资账户要纳入财产分割吗？何淼律师详解Ontario法院对境外资产的管辖权、举证要求和常见处理策略。
https://www.miaohelaw.ca/blog/default-judgment-divorce-ontario/	对方不出庭、不回应怎么办？Ontario离婚缺席判决详解	对方收到离婚申请后消失、拒绝回应、或者在中国无法联系怎么办？何淼律师详解Ontario缺席判决程序、替代送达申请，以及如何在对方不配合的情况下推进离婚。
https://www.miaohelaw.ca/blog/dissipation-of-assets/	还没离婚，对方已与别人同居——财产怎么分？那笔钱还能要回来吗？	对方出轨同居，婚内给第三者花的钱能追回来吗？何淼律师详解安省分居日、婚姻财产挥霍（Dissipation of Assets）的法律主张与举证要求。
